entity,nertype,count
Manchester City,GPE,2876
Rama,GPE,2871
Haiti,GPE,2859
IO,GPE,2851
Vancouver,GPE,2848
Hankow,GPE,2833
Abu Dhabi,GPE,2825
Narasimha,GPE,2823
Macedonia,GPE,2818
Canberra,GPE,2815
Detroit,GPE,2799
Narayan,GPE,2794
va,GPE,2769
Uruguay,GPE,2764
Shipping,GPE,2761
MUMBAI,GPE,2759
Leningrad,GPE,2756
Mumbaikars,GPE,2755
Warren,GPE,2753
Padamsee,GPE,2747
Bolivia,GPE,2746
C.B.,GPE,2738
Kamat,GPE,2736
Mongia,GPE,2734
the West Bank,GPE,2728
Kotah,GPE,2719
Jharkhand,GPE,2716
Wardha,GPE,2712
Narredu,GPE,2706
Uombay,GPE,2706
Khairnar,GPE,2705
Malaya,GPE,2695
Iceland,GPE,2677
Goregaon,GPE,2674
Quebec,GPE,2669
thi3,GPE,2659
Khalsa,GPE,2657
RCF,GPE,2646
Kiwis,GPE,2632
the City of Bombay,GPE,2631
Viet Minh,GPE,2627
Mosul,GPE,2625
Parvati,GPE,2616
Hawaii,GPE,2616
British Empire,GPE,2609
Elysia,GPE,2593
Soudan,GPE,2590
Rawat,GPE,2586
Seattle,GPE,2585
Kngland,GPE,2584
Kannan,GPE,2581
Akbar,GPE,2580
EU,GPE,2577
Darbar,GPE,2575
Instl,GPE,2553
6h,GPE,2552
Mahomedan,GPE,2552
Sindh,GPE,2551
Hitlers,GPE,2542
Texmaco,GPE,2542
Arizona,GPE,2532
Luxembourg,GPE,2532
Mercara,GPE,2528
Sankey,GPE,2524
Addis Ababa,GPE,2519
Greater Bombay,GPE,2519
Mukerjee,GPE,2517
Wheat,GPE,2517
Harvey,GPE,2513
Colorado,GPE,2513
UAE,GPE,2508
Sind,GPE,2506
Vijayawada,GPE,2505
Lithuania,GPE,2504
Las Vegas,GPE,2503
Nanded,GPE,2498
Hukumchand,GPE,2497
Henderson,GPE,2494
Navys,GPE,2491
Messrs,GPE,2467
Alexandria,GPE,2466
Malegaon,GPE,2461
Wadhwan,GPE,2459
Rotary,GPE,2454
West Pakistan,GPE,2451
West Bank,GPE,2451
Smith,GPE,2447
Thibet,GPE,2447
Telangana,GPE,2445
Banaras,GPE,2443
Hombay,GPE,2440
Chandra,GPE,2437
Tohra,GPE,2430
Gibraltar,GPE,2423
Maryland,GPE,2420
Tndia,GPE,2417
Frontier Province,GPE,2417
New York City,GPE,2415
Viet Cong,GPE,2405
Bhilai,GPE,2393
us,GPE,2392
Nicobar,GPE,2383
Aamir,GPE,2365
Thou,GPE,2365
JD,GPE,2364
the Indian States,GPE,2363
MELBOURNE,GPE,2360
Mizoram,GPE,2358
Pune,GPE,2354
Major,GPE,2354
Belle,GPE,2347
Mathura,GPE,2345
Mukand,GPE,2344
Tirupati,GPE,2341
Australias,GPE,2339
Punjaub,GPE,2329
Kingdom,GPE,2326
Croatia,GPE,2316
Prince,GPE,2312
Karanji,GPE,2308
Palghar,GPE,2299
Medina,GPE,2299
Ballarpur,GPE,2299
Murray,GPE,2297
Imagine,GPE,2295
JI,GPE,2293
THE CITY,GPE,2291
thV,GPE,2281
Chesterfield,GPE,2279
Mankad,GPE,2273
Lands,GPE,2269
South Zone,GPE,2268
Tasmania,GPE,2264
Vinay,GPE,2255
North Zone,GPE,2255
Upper Burma,GPE,2252
Yunnan,GPE,2251
Vehar,GPE,2250
Leyland,GPE,2249
Kala,GPE,2244
Durbar,GPE,2242
Bombay Province,GPE,2237
Santa Barbara,GPE,2237
Island,GPE,2235
Capetown,GPE,2234
Akyab,GPE,2230
Poona City,GPE,2226
Mexico City,GPE,2226
Latur,GPE,2222
Equip,GPE,2212
Honolulu,GPE,2211
District,GPE,2209
Costa Rica,GPE,2203
Koli,GPE,2203
SPAIN,GPE,2200
Westminster,GPE,2192
Sabarmati,GPE,2189
BB,GPE,2189
Kosovo,GPE,2176
Oabul,GPE,2173
Taipei,GPE,2165
Azerbaijan,GPE,2165
Norfolk,GPE,2165
Gurdaspur,GPE,2161
Guyana,GPE,2150
DC,GPE,2139
Warden,GPE,2131
Nagpore,GPE,2128
Oklahoma,GPE,2119
Sofia,GPE,2110
Katanga,GPE,2109
the Indian Union,GPE,2105
Sussex,GPE,2101
Chatham,GPE,2101
panchayati,GPE,2092
Bills,GPE,2086
Bhajan,GPE,2077
Jalpaiguri,GPE,2068
Armenia,GPE,2068
Riyadh,GPE,2067
Lonavla,GPE,2063
Shabana,GPE,2060
Pyongyang,GPE,2056
Turin,GPE,2056
Galle,GPE,2044
Monaco,GPE,2043
East Pakistan,GPE,2042
Kamala,GPE,2041
Gupte,GPE,2041
Umrigar,GPE,2033
Senapati,GPE,2031
Influx,GPE,2027
Guru,GPE,2027
SINGAPORE,GPE,2025
Baku,GPE,2024
Nevada,GPE,2006
Lokhandwala,GPE,2006
Agassi,GPE,1996
Sri Lankas,GPE,1993
Saharanpur,GPE,1988
Cherrapunji,GPE,1987
Strand,GPE,1982
Ahmednagar,GPE,1981
Secunderabad,GPE,1977
Viramgam,GPE,1977
Cochin,GPE,1976
Jellalabad,GPE,1970
Orlando,GPE,1968
Akola,GPE,1965
Oregon,GPE,1963
Jessop,GPE,1960
Alabama,GPE,1955
Mississippi,GPE,1951
Providence,GPE,1945
Madurai,GPE,1943
Ilia,GPE,1941
Kumar,GPE,1940
Durgapur,GPE,1940
Lyallpur,GPE,1936
Khetwadi,GPE,1933
Arkansas,GPE,1921
Holi,GPE,1921
Navigation Companys,GPE,1917
R.A.,GPE,1916
Hindutva,GPE,1913
Mysore State,GPE,1911
Baria,GPE,1907
Undertaking,GPE,1904
Montenegro,GPE,1902
Kareena,GPE,1902
Simla,GPE,1900
Deolali,GPE,1894
Kingston,GPE,1893
TURKEY,GPE,1891
Caledonia,GPE,1888
Haifa,GPE,1887
Mis,GPE,1884
Pondicherry,GPE,1879
Gaya,GPE,1877
the United Arab Republic,GPE,1870
Songs,GPE,1863
Sarabhai,GPE,1861
Borivli,GPE,1859
Sporting,GPE,1849
Albemarle,GPE,1849
Tehran,GPE,1849
Faridabad,GPE,1843
Advani,GPE,1843
Michigan,GPE,1841
