entity,nertype,count
Oman,PERSON,3520
Bombay Dyeing,PERSON,3519
Marcos,PERSON,3499
Laloo,PERSON,3489
Masani,PERSON,3487
Macdonald,PERSON,3480
Khan Bahadur,PERSON,3473
Botha,PERSON,3472
Arjun Singh,PERSON,3465
Becker,PERSON,3464
Ajit Singh,PERSON,3455
Dewan,PERSON,3447
Shahs,PERSON,3445
Malcolm,PERSON,3440
G.,PERSON,3434
Gupte,PERSON,3432
Kasparov,PERSON,3431
Gen Zia,PERSON,3427
Dave,PERSON,3426
Jamnadas Mehta,PERSON,3422
Konkani,PERSON,3419
Grey,PERSON,3416
la,PERSON,3415
Waterloo,PERSON,3413
Austin,PERSON,3410
Collins,PERSON,3409
Walker,PERSON,3405
Ronald Reagan,PERSON,3404
Bommai,PERSON,3398
Bhatt,PERSON,3395
Benson,PERSON,3395
Diana,PERSON,3394
Tel,PERSON,3391
Down,PERSON,3388
de Gaulle,PERSON,3380
Elliot,PERSON,3376
Justice,PERSON,3356
Trivedi,PERSON,3348
Mr Ray,PERSON,3346
Mussolini,PERSON,3345
Davis Cup,PERSON,3336
Rani,PERSON,3321
Tripathi,PERSON,3312
Gopal,PERSON,3311
Glass,PERSON,3309
Saturdays,PERSON,3304
Ready Rs,PERSON,3299
Nos,PERSON,3290
Pandit Pant,PERSON,3286
Donald,PERSON,3271
Lane,PERSON,3268
Page,PERSON,3257
Mohan,PERSON,3256
Raipur,PERSON,3255
North,PERSON,3253
Reid,PERSON,3239
Fert,PERSON,3235
Attlee,PERSON,3233
Manjrekar,PERSON,3227
Hind Motors,PERSON,3225
Chhagan Bhujbal,PERSON,3222
Varma,PERSON,3207
Kaul,PERSON,3204
Abbas,PERSON,3203
mako,PERSON,3202
Bach,PERSON,3201
Hassan,PERSON,3200
Khar Gymkhana,PERSON,3197
Moulmein,PERSON,3195
Hudson,PERSON,3190
Pranab Mukherjee,PERSON,3189
NETWORK,PERSON,3187
Mankad,PERSON,3184
Frederick,PERSON,3183
Chandigarh,PERSON,3173
Chandra Bose,PERSON,3172
Brian,PERSON,3165
Bee,PERSON,3164
Davids,PERSON,3160
Haig,PERSON,3153
Ashok Kumar,PERSON,3152
Asoka Mehta,PERSON,3149
Madhya Bharat,PERSON,3138
jack,PERSON,3137
Dickens,PERSON,3130
Clan,PERSON,3130
Groundnut Nizam,PERSON,3124
Bose,PERSON,3117
Jamshedpur,PERSON,3115
Dalhousie,PERSON,3113
s,PERSON,3111
Marxists,PERSON,3109
Knight,PERSON,3105
Atal Behari Vajpayee,PERSON,3103
Prasanna,PERSON,3101
Shankar,PERSON,3094
Richardson,PERSON,3091
St Xaviers,PERSON,3087
Bombay Gymkhana,PERSON,3084
Deo,PERSON,3079
Nasik,PERSON,3075
Anil Kumble,PERSON,3068
Dhoni,PERSON,3067
Bonar Law,PERSON,3067
Sahar,PERSON,3067
Steve Waugh,PERSON,3052
Morgan,PERSON,3048
Dilip Kumar,PERSON,3042
Kii,PERSON,3040
Pope,PERSON,3030
Pitt,PERSON,3028
Anthony Eden,PERSON,3021
Bhuttos,PERSON,3018
Jay,PERSON,3016
Glamorgan,PERSON,3012
Anwar,PERSON,3003
Shane Warne,PERSON,2999
Queen Elizabeth,PERSON,2998
Pramod Mahajan,PERSON,2993
Carey,PERSON,2987
Larsen,PERSON,2980
the Lok Dal,PERSON,2979
II,PERSON,2977
Guzerat,PERSON,2974
Signor Mussolini,PERSON,2973
Railway,PERSON,2971
Mn,PERSON,2965
Flour Mills,PERSON,2961
Bhosale,PERSON,2959
Norman,PERSON,2952
Apte,PERSON,2949
Principal,PERSON,2948
Raj Bahadur,PERSON,2947
bush,PERSON,2945
Diwan,PERSON,2942
Warne,PERSON,2941
Moore,PERSON,2940
Thoro,PERSON,2939
Minto,PERSON,2933
Forbes,PERSON,2932
Marg,PERSON,2931
Barnala,PERSON,2927
Mutiny,PERSON,2924
moro,PERSON,2922
Gen,PERSON,2921
hae,PERSON,2921
Hindi,PERSON,2921
Leader,PERSON,2912
Bombay Castle,PERSON,2910
Aamir Khan,PERSON,2907
Weather Report,PERSON,2905
Richard Temple,PERSON,2903
Patterson,PERSON,2903
Borde,PERSON,2903
Pondicherry,PERSON,2900
Ambala,PERSON,2900
Raza,PERSON,2896
Mountbatten,PERSON,2895
Ed,PERSON,2884
lee,PERSON,2878
Dombivli,PERSON,2874
anil,PERSON,2870
Badal,PERSON,2869
Bangla Desh,PERSON,2867
Che,PERSON,2859
Mr Nehru,PERSON,2854
Sanjay Dutt,PERSON,2853
Jaipur,PERSON,2852
Jethmalani,PERSON,2849
Maria,PERSON,2848
Kamgar Sabha,PERSON,2846
Tendulkar,PERSON,2845
Int Nickel,PERSON,2845
The Lok Sabha,PERSON,2845
Gur,PERSON,2840
Salgaocar,PERSON,2839
Chang,PERSON,2839
Nawab,PERSON,2837
Leander Paes,PERSON,2837
Tests,PERSON,2836
Dixon,PERSON,2824
Campbell,PERSON,2820
Ramakrishna Hegde,PERSON,2814
Dufferin,PERSON,2811
Bikaner,PERSON,2808
Walter,PERSON,2802
Gaddum,PERSON,2802
Londons,PERSON,2801
Hastings,PERSON,2801
Mich,PERSON,2790
Nawaz Sharif,PERSON,2789
Cameron,PERSON,2789
Mirdha,PERSON,2787
Europes,PERSON,2786
Flour Mill,PERSON,2785
Wardha,PERSON,2783
Kulkarni,PERSON,2782
Shroff,PERSON,2781
Murphy,PERSON,2778
Linseed Oil,PERSON,2776
Lady Willingdon,PERSON,2774
Madan Lai,PERSON,2771
Hind Lever,PERSON,2769
Azad Maidan,PERSON,2769
Limaye,PERSON,2766
Barometer,PERSON,2766
Haldane,PERSON,2757
Yasser Arafat,PERSON,2757
Mehra,PERSON,2757
Con,PERSON,2755
Margaret,PERSON,2751
Stevenson,PERSON,2750
Kolkata,PERSON,2745
Rana,PERSON,2735
Gorbachov,PERSON,2727
Greig,PERSON,2724
Ellis,PERSON,2717
Marie,PERSON,2712
Lin,PERSON,2707
Tara Singh,PERSON,2706
Gujarat,PERSON,2702
Jie,PERSON,2699
Helen,PERSON,2699
Jail,PERSON,2698
bales cotton,PERSON,2698
Tinaikar,PERSON,2694
Thy,PERSON,2693
Digvijay Singh,PERSON,2692
Bobby,PERSON,2691
Lady Brabourne,PERSON,2687
0,PERSON,2681
Linseed La Plata,PERSON,2680
Kaira,PERSON,2679
Pete Sampras,PERSON,2674
Bhandari,PERSON,2668
Doshi,PERSON,2668
Java Sugar,PERSON,2667
Lindsay,PERSON,2665
Pillai,PERSON,2665
Dubey,PERSON,2661
Laloo Prasad,PERSON,2653
Groundnut Karad,PERSON,2651
Shivraj Patil,PERSON,2646
Jayakar,PERSON,2640
Sri Prakasa,PERSON,2639
Yahya Khan,PERSON,2636
Kalyan Singh,PERSON,2631
Elliott,PERSON,2631
Hartington,PERSON,2630
Clan Line,PERSON,2626
St Francis,PERSON,2619
Chou,PERSON,2619
Maharajas,PERSON,2618
Pat,PERSON,2617
Ls,PERSON,2615
Mandela,PERSON,2611
Naxalite,PERSON,2609
Mysore,PERSON,2606
Acharya Kripalani,PERSON,2599
Miles,PERSON,2599
Lady Lumley,PERSON,2598
Tony Blair,PERSON,2597
Reich,PERSON,2595
Whilst,PERSON,2588
Sunset,PERSON,2588
Rotary Club,PERSON,2584
Bhulabhai,PERSON,2583
Khrushchevs,PERSON,2582
Graf,PERSON,2582
Linseed Calcutta,PERSON,2576
pr,PERSON,2572
Verdun,PERSON,2570
Secunderabad,PERSON,2568
Natarajan,PERSON,2567
Wadekar,PERSON,2561
Gopinath Munde,PERSON,2559
Holmes,PERSON,2558
Kemp,PERSON,2557
Thomson,PERSON,2557
Fox,PERSON,2557
Larry King,PERSON,2555
Shall,PERSON,2552
Chaturvedi,PERSON,2552
Spinner,PERSON,2548
East Bengal,PERSON,2541
Linseed Bold,PERSON,2540
Mujibur Rahman,PERSON,2539
Manish,PERSON,2539
Marx,PERSON,2536
Coats,PERSON,2536
Foley,PERSON,2534
Bald,PERSON,2533
lo,PERSON,2532
Lady Wilson,PERSON,2531
Khadilkar,PERSON,2530
Mahabharata,PERSON,2529
Carr,PERSON,2524
Deve Gowda,PERSON,2522
Thane,PERSON,2514
Kunte,PERSON,2513
Pant,PERSON,2513
Samant,PERSON,2513
Aligarh,PERSON,2512
rnd,PERSON,2508
Balbir,PERSON,2506
Karnik,PERSON,2501
arid,PERSON,2500
Burns,PERSON,2499
Rao Saheb,PERSON,2498
Kalyan,PERSON,2495
Vishnu Cotton,PERSON,2493
Dalvi,PERSON,2491
White,PERSON,2491
Rushdie,PERSON,2490
Larsen Toubro,PERSON,2490
Dr Mehta,PERSON,2489
Pandey,PERSON,2484
Savarkar,PERSON,2479
Mukesh,PERSON,2472
Udaipur Vizag,PERSON,2468
Bernard,PERSON,2467
Dinshaw,PERSON,2460
Lyon,PERSON,2459
Raut,PERSON,2457
His Highness,PERSON,2457
Fine White Java,PERSON,2454
Kandy,PERSON,2453
LK Advani,PERSON,2453
Sam,PERSON,2453
McCarthy,PERSON,2452
Pervez Musharraf,PERSON,2443
Gaekwar,PERSON,2440
Andre Agassi,PERSON,2437
Joan,PERSON,2435
Hope,PERSON,2432
Ceylon,PERSON,2430
Kripalani,PERSON,2429
Calcutta,PERSON,2429
Rama,PERSON,2427
Madhavan,PERSON,2425
Ford,PERSON,2421
Sharp,PERSON,2420
Kalmadi,PERSON,2420
Mao Tse-tung,PERSON,2420
H. M.'s,PERSON,2415
Raj Thackeray,PERSON,2411
Kin,PERSON,2409
Sirdars,PERSON,2407
Shaw Wallace,PERSON,2406
Tins,PERSON,2406
Ashok,PERSON,2404
Hind,PERSON,2402
Barry,PERSON,2401
Library,PERSON,2399
Pun,PERSON,2398
St Andrews,PERSON,2395
Karan,PERSON,2394
Stephen,PERSON,2392
Gaekwad,PERSON,2390
Cawnpore,PERSON,2389
hu,PERSON,2387
Iris,PERSON,2386
Bahuguna,PERSON,2379
Barrett,PERSON,2376
Rayalaseema,PERSON,2375
Atlas Copco,PERSON,2371
W.,PERSON,2370
Chunilal Mehta,PERSON,2368
Ml,PERSON,2358
St Stanislaus,PERSON,2357
Saugor,PERSON,2356
Word,PERSON,2355
Edward Grey,PERSON,2354
Ronaldo,PERSON,2354
Schumacher,PERSON,2348
Bajra,PERSON,2346
Benares,PERSON,2344
Woh Rehne Waali,PERSON,2344
Jong,PERSON,2342
Tu,PERSON,2342
Portsmouth,PERSON,2341
Bob,PERSON,2339
Oliver,PERSON,2339
Tucker,PERSON,2338
Mamlatdar,PERSON,2336
Sheila,PERSON,2335
Reay,PERSON,2328
Bangarappa,PERSON,2328
Matunga Gymkhana,PERSON,2327
Brian Lara,PERSON,2326
wai,PERSON,2324
Poona Express,PERSON,2324
M.,PERSON,2322
Bon,PERSON,2321
JO,PERSON,2320
Gromyko,PERSON,2314
Holkar,PERSON,2314
Eden,PERSON,2311
Boris Yeltsin,PERSON,2310
Ali Khan,PERSON,2310
Dharwar,PERSON,2310
Maradona,PERSON,2308
Britons,PERSON,2307
Floater,PERSON,2307
Cong,PERSON,2306
Hun,PERSON,2305
Dr,PERSON,2302
Ike,PERSON,2301
Guru,PERSON,2300
Leslie,PERSON,2298
Strauss,PERSON,2298
Jammu,PERSON,2295
Rai Bahadur,PERSON,2293
Mazagon,PERSON,2293
Harshad Mehta,PERSON,2293
Maya,PERSON,2290
Vishnu,PERSON,2285
Henry Kissinger,PERSON,2282
Austen Chamberlain,PERSON,2282
Madan,PERSON,2280
Bent,PERSON,2275
Wembley,PERSON,2275
Maxwell,PERSON,2274
Imran Khan,PERSON,2274
Koirala,PERSON,2273
Michael Jackson,PERSON,2271
Slater,PERSON,2269
Himalaya,PERSON,2266
Bajaj,PERSON,2266
-which,PERSON,2265
George Schuster,PERSON,2263
Gandhiji,PERSON,2261
Dyer,PERSON,2259
Malabar,PERSON,2258
Kampuchea,PERSON,2257
Hind Dorr,PERSON,2257
Poona Fast,PERSON,2256
J,PERSON,2254
Virender Sehwag,PERSON,2251
