qtr,titlelen
1986Q4,26.758432187175423
1987Q1,26.760964421570822
1987Q2,26.935801915859056
1987Q3,27.154358215748747
1987Q4,27.072034116015004
1988Q1,26.88122988122988
1988Q2,26.53983850019764
1988Q3,26.378844361602983
1988Q4,26.183503801345513
1989Q1,26.12569744183598
1989Q2,26.039610590295663
1989Q3,25.826148104073134
1989Q4,25.78595216469876
1990Q1,25.87223072996427
1990Q2,25.95833106378343
1990Q3,26.079273873690635
1990Q4,25.816816965612922
1991Q1,25.89586058925114
1991Q2,25.812945247303073
1991Q3,25.713127954698944
1991Q4,25.65255444738449
1992Q1,25.714556392402066
1992Q2,25.72930134559211
1992Q3,25.548656626807425
1992Q4,25.40561322568243
1993Q1,25.614193227091633
1993Q2,25.545755442636707
1993Q3,25.522323830016138
1993Q4,25.448452859425693
1994Q1,25.36972831912018
1994Q2,25.704433953531428
1994Q3,26.199423397450335
1994Q4,26.32629404822121
1995Q1,26.80726997349489
1995Q2,27.394984587186535
1995Q3,28.06550947175165
1995Q4,28.09464537341475
1996Q1,28.395172993202475
1996Q2,28.176237390587588
1996Q3,28.580283597246776
1996Q4,28.957133765115497
1997Q1,29.142259245844905
1997Q2,29.09396973402629
1997Q3,29.1663030831879
1997Q4,29.12483736218585
1998Q1,28.604078862775914
1998Q2,28.81102276440475
1998Q3,29.143442907776773
1998Q4,29.076633522727274
1999Q1,29.08161438189371
1999Q2,29.180635139799794
1999Q3,29.164462755000333
1999Q4,28.882976992417586
2000Q1,28.56195043964828
2000Q2,29.082798736912082
2000Q3,28.360975273779186
2000Q4,28.152133514402117
2001Q1,28.10796415590024
2001Q2,28.747272789841357
2001Q3,28.46691244926079
2001Q4,28.19696859815795
2002Q1,28.13995882463036
2002Q2,26.816806784390028
2002Q3,26.26820425794508
2002Q4,26.561484347520224
2003Q1,26.804174586927914
2003Q2,26.75835270191749
2003Q3,26.347566246946062
2003Q4,26.196814602720114
2004Q1,26.054592240696753
2004Q2,25.70886722741923
2004Q3,25.939666339548577
2004Q4,25.735743304243154
2005Q1,26.25336153497507
2005Q2,26.43662196170877
2005Q3,26.96584008097166
2005Q4,26.756607270135426
2006Q1,26.66656553398058
2006Q2,26.425229664780677
2006Q3,27.000434728605143
2006Q4,27.004201942231077
2007Q1,27.256412588684736
2007Q2,27.475281700185423
2007Q3,27.457536259490055
2007Q4,27.30998501712329
2008Q1,27.585100286532953
2008Q2,27.83380034530582
2008Q3,27.98763164339946
2008Q4,28.275340488294734
